Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,YDS,V-grade,Route Danger Rating
Reverse Consideration,Cloud Shadow > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/107575337/reverse-consideration,2.3,-1,Boulder,V4+,1,12.0,40.00272,-105.29477,,V4+,
Spaceship,Cloud Shadow > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/122830114/spaceship,2.0,-1,Boulder,V4-5,1,5.0,40.00272,-105.29477,,V4-5,
East Slab aka The Downclimb,Beer Barrel Boulder > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/106706106/east-slab-aka-the-downclimb,1.4,-1,Boulder,V0-,1,,40.00111,-105.29705,,V0-,
Southwest Prow,Beer Barrel Boulder > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/105749257/southwest-prow,3.0,-1,Boulder,V0,1,,40.00111,-105.29705,,V0,
South Face,Beer Barrel Boulder > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/106090431/south-face,2.0,-1,Boulder,V0,1,12.0,40.00111,-105.29705,,V0,
Far Far Right Side,Red Wall > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/125701513/far-far-right-side,1.0,-1,Boulder,V0,1,5.0,40.00275,-105.29689,,V0,
East Overhang Left,Red Wall > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/107297707/east-overhang-left,2.0,-1,Boulder,V2,1,,40.00275,-105.29689,,V2,
East Overhang Right,Red Wall > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/107297719/east-overhang-right,1.5,-1,Boulder,V3-4,1,,40.00275,-105.29689,,V3-4,
Center Left,Red Wall > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/105749263/center-left,3.0,-1,Boulder,V4,1,,40.00275,-105.29689,,V4,
Far Right Side aka Right Right Side,Red Wall > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/105761958/far-right-side-aka-right-right-side,1.5,-1,Boulder,V4,1,,40.00275,-105.29689,,V4,
Standard Route,Red Wall > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/106108183/standard-route,2.9,-1,Boulder,V4,1,10.0,40.00275,-105.29689,,V4,
The Notch,Golf Club Boulder > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/107279854/the-notch,1.7,-1,Boulder,V0-,1,5.0,40.00265,-105.29472,,V0-,
V0,Golf Club Boulder > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/105750985/v0,1.7,-1,Boulder,V0,1,,40.00265,-105.29472,,V0,
Northeast Layback,Golf Club Boulder > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/107279848/northeast-layback,2.1,-1,Boulder,V2,1,7.0,40.00265,-105.29472,,V2,
Jump Start of Faith,Golf Club Boulder > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/107669153/jump-start-of-faith,2.0,-1,Boulder,V2,1,10.0,40.00265,-105.29472,,V2,
Pedestal Traverse,Golf Club Boulder > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/105750988/pedestal-traverse,2.3,-1,Boulder,V2+,1,,40.00265,-105.29472,,V2+,
Left Of Classic Line,Tree Slab > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/115687313/left-of-classic-line,1.7,-1,Boulder,V0- PG13,1,18.0,40.00095,-105.2971,,V0-,PG13
Classic Line,Tree Slab > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/106090438/classic-line,2.7,-1,Boulder,V0 PG13,1,20.0,40.00095,-105.2971,,V0,PG13
Slab Traverse,Tree Slab > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/105758380/slab-traverse,2.5,-1,Boulder,V1,1,10.0,40.00095,-105.2971,,V1,
V1 Slabs,Tree Slab > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/106090442/v1-slabs,2.3,-1,Boulder,V1 PG13,1,20.0,40.00095,-105.2971,,V1,PG13
Gully,Pratt's Rock aka Pratt's Overhang > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/109350456/gully,1.5,-1,Boulder,V0,1,,40.00107,-105.29658,,V0,
Pratt's Mantel,Pratt's Rock aka Pratt's Overhang > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/106035916/pratts-mantel,2.9,-1,Boulder,V2+,1,10.0,40.00107,-105.29658,,V2+,
Aerial Burial,Pratt's Rock aka Pratt's Overhang > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/105759756/aerial-burial,3.3,-1,Boulder,V3,1,10.0,40.00107,-105.29658,,V3,
Crystal Corner,Pratt's Rock aka Pratt's Overhang > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/106371210/crystal-corner,2.6,-1,Boulder,V3,1,15.0,40.00107,-105.29658,,V3,
Pratt's Overhang,Pratt's Rock aka Pratt's Overhang > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/107017797/pratts-overhang,2.9,-1,Boulder,V3,1,10.0,40.00107,-105.29658,,V3,
Gill Swing,Pratt's Rock aka Pratt's Overhang > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/105759414/gill-swing,3.2,-1,Boulder,V4,1,10.0,40.00107,-105.29658,,V4,
Veasy,King Conquerer > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/106417105/veasy,2.5,-1,Boulder,V0+,1,15.0,40.004,-105.29786,,V0+,
Southwest Layback,King Conquerer > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/106916377/southwest-layback,2.4,-1,Boulder,V1+,1,,40.004,-105.29786,,V1+,
King Conqueror,King Conquerer > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/105760857/king-conqueror,3.6,-1,Boulder,5.11d V3 R,1,20.0,40.004,-105.29786,5.11,V3,R
Far Left Seam,Upper Y Traverse > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/109070457/far-left-seam,1.6,-1,Boulder,V-easy,1,12.0,40.00353,-105.29773,,,
Hornucopia into Panache,Upper Y Traverse > Flagstaff > Boulder > Colorado,https://www.mountainproject.com/route/105759483/hornucopia-into-panache,0.0,-1,Boulder,V1,1,20.0,40.00353,-105.29773,,V1,
