Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,YDS,V-grade,Route Danger Rating
Gladiators,Roof Ranch > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/105989571/gladiators,2.8,-1,Boulder,V3,1,,41.18484,-105.37826,,V3,
Overganging Arete,Roof Ranch > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/109652942/overganging-arete,3.0,-1,Boulder,V3,1,15.0,41.18484,-105.37826,,V3,
Super Mexican,Roof Ranch > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/105819488/super-mexican,3.5,-1,Boulder,V4,1,10.0,41.18484,-105.37826,,V4,
Brown Eyed Girl,Roof Ranch > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/105819561/brown-eyed-girl,3.8,-1,Boulder,V4,1,12.0,41.18484,-105.37826,,V4,
Unnamed Inversion Roof,Roof Ranch > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/109652911/unnamed-inversion-roof,2.0,-1,Boulder,5.11+ V4,1,15.0,41.18484,-105.37826,5.11+,V4,
Goliath,Roof Ranch > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/105819592/goliath,1.0,-1,Boulder,V5-,1,6.0,41.18484,-105.37826,,V5-,
Niños,Roof Ranch > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/105989109/ninos,3.0,-1,Boulder,V5,1,10.0,41.18484,-105.37826,,V5,
Remnant Militia,Roof Ranch > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/108940761/remnant-militia,3.0,-1,Boulder,V6,1,10.0,41.18484,-105.37826,,V6,
Brown Eyed Girl Left,Roof Ranch > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/111916339/brown-eyed-girl-left,3.5,-1,Boulder,V7,1,10.0,41.18484,-105.37826,,V7,
Wu-tang,Roof Ranch > Vedauwoo > Laramie Area > Wyoming,https://www.mountainproject.com/route/106257963/wu-tang,2.5,-1,Boulder,V7-8,1,12.0,41.18484,-105.37826,,V7-8,
